democrat				republican			
Token	LL	F	F2	Token	LL	F	F2
washingtontimes.com/news/2020/jan/	1.24	0.0	0.02	washingtontimes.com/news/2020/jan/	1.24	0.02	0.0
mulberry	1.24	0.0	0.02	mulberry	1.24	0.02	0.0
tisch	1.24	0.0	0.02	tisch	1.24	0.02	0.0
netnebraska.org/interactive-multimedia/government/executive-conferencia-de-prensa-del-gobernador-0	1.24	0.0	0.02	netnebraska.org/interactive-multimedia/government/executive-conferencia-de-prensa-del-gobernador-0	1.24	0.02	0.0
radford	1.24	0.0	0.02	radford	1.24	0.02	0.0
2-6	1.24	0.0	0.02	2-6	1.24	0.02	0.0
clotilda	1.24	0.0	0.02	clotilda	1.24	0.02	0.0
20-4	1.24	0.0	0.02	20-4	1.24	0.02	0.0
bit.ly/39lzrly	1.24	0.0	0.02	bit.ly/39lzrly	1.24	0.02	0.0
disable	1.24	0.0	0.02	disable	1.24	0.02	0.0
twitter.com/secazar/status	1.24	0.0	0.02	twitter.com/secazar/status	1.24	0.02	0.0
𝐭𝐡𝐞	1.24	0.0	0.02	𝐭𝐡𝐞	1.24	0.02	0.0
caters	1.24	0.0	0.02	caters	1.24	0.02	0.0
fresco	1.24	0.0	0.02	fresco	1.24	0.02	0.0
charleston's	1.24	0.0	0.02	charleston's	1.24	0.02	0.0
47d1	1.24	0.0	0.02	47d1	1.24	0.02	0.0
pscp.tv/w/cwyjltfhewpw	1.24	0.0	0.02	pscp.tv/w/cwyjltfhewpw	1.24	0.02	0.0
twitter.com/opddcgonzalez/	1.24	0.0	0.02	twitter.com/opddcgonzalez/	1.24	0.02	0.0
bit.ly/2zmyooc	1.24	0.0	0.02	bit.ly/2zmyooc	1.24	0.02	0.0
solicit	1.24	0.0	0.02	solicit	1.24	0.02	0.0
arozamena	1.24	0.0	0.02	arozamena	1.24	0.02	0.0
3113	1.24	0.0	0.02	3113	1.24	0.02	0.0
ow.ly/cpi550wbezz	1.24	0.0	0.02	ow.ly/cpi550wbezz	1.24	0.02	0.0
akgov.us/25400	1.24	0.0	0.02	akgov.us/25400	1.24	0.02	0.0
ghcc	1.24	0.0	0.02	ghcc	1.24	0.02	0.0
ndot	1.24	0.0	0.02	ndot	1.24	0.02	0.0
1,169	1.24	0.0	0.02	1,169	1.24	0.02	0.0
kemnitz	1.24	0.0	0.02	kemnitz	1.24	0.02	0.0
bit.ly/2mj2ett	1.24	0.0	0.02	bit.ly/2mj2ett	1.24	0.02	0.0
cs_at	1.24	0.0	0.02	cs_at	1.24	0.02	0.0
millert	1.24	0.0	0.02	millert	1.24	0.02	0.0
morley	1.24	0.0	0.02	morley	1.24	0.02	0.0
un-texan	1.24	0.0	0.02	un-texan	1.24	0.02	0.0
above-normal	1.24	0.0	0.02	above-normal	1.24	0.02	0.0
719	1.24	0.0	0.02	719	1.24	0.02	0.0
year-old-record-for-jobs	1.24	0.0	0.02	year-old-record-for-jobs	1.24	0.02	0.0
seasoned	1.24	0.0	0.02	seasoned	1.24	0.02	0.0
yoko	1.24	0.0	0.02	yoko	1.24	0.02	0.0
ktt	1.24	0.0	0.02	ktt	1.24	0.02	0.0
gorham	1.24	0.0	0.02	gorham	1.24	0.02	0.0
bit.ly/3excen8	1.24	0.0	0.02	bit.ly/3excen8	1.24	0.02	0.0
dix	1.24	0.0	0.02	dix	1.24	0.02	0.0
governor.nebraska.gov/press/gov-rick	1.24	0.0	0.02	governor.nebraska.gov/press/gov-rick	1.24	0.02	0.0
lamar's	1.24	0.0	0.02	lamar's	1.24	0.02	0.0
ort	1.24	0.0	0.02	ort	1.24	0.02	0.0
200206_2020_ronald_reagan_day_in_arkansas	1.24	0.0	0.02	200206_2020_ronald_reagan_day_in_arkansas	1.24	0.02	0.0
roby.house.gov	1.24	0.0	0.02	1280	1.24	0.02	0.0
1280	1.24	0.0	0.02	roby.house.gov	1.24	0.02	0.0
b5nthm3wxv	1.24	0.0	0.02	b5nthm3wxv	1.24	0.02	0.0
ow.ly/ildc50y2e4m	1.24	0.0	0.02	ow.ly/ildc50y2e4m	1.24	0.02	0.0
coronavirus.iowa.gov	1.24	0.0	0.02	coronavirus.iowa.gov	1.24	0.02	0.0
native-sons-steve-azar-washington	1.24	0.0	0.02	native-sons-steve-azar-washington	1.24	0.02	0.0
07.16	1.24	0.0	0.02	07.16	1.24	0.02	0.0
marchbanks	1.24	0.0	0.02	marchbanks	1.24	0.02	0.0
coronavirus.in.gov/2524.htm	1.24	0.0	0.02	coronavirus.in.gov/2524.htm	1.24	0.02	0.0
akgov.us/252f5	1.24	0.0	0.02	akgov.us/252f5	1.24	0.02	0.0
aero	1.24	0.0	0.02	aero	1.24	0.02	0.0
dese.ade.arkansas.gov/divisions/lear	1.24	0.0	0.02	dese.ade.arkansas.gov/divisions/lear	1.24	0.02	0.0
scrimshire	1.24	0.0	0.02	scrimshire	1.24	0.02	0.0
991	1.24	0.0	0.02	991	1.24	0.02	0.0
cenarrusa	1.24	0.0	0.02	cenarrusa	1.24	0.02	0.0
ds-fueling-alabamas-economic-growth-in	1.24	0.0	0.02	ds-fueling-alabamas-economic-growth-in	1.24	0.02	0.0
lacing	1.24	0.0	0.02	lacing	1.24	0.02	0.0
megafit	1.24	0.0	0.02	megafit	1.24	0.02	0.0
christina.dettman@ky.gov	1.24	0.0	0.02	christina.dettman@ky.gov	1.24	0.02	0.0
advent	1.24	0.0	0.02	advent	1.24	0.02	0.0
heodore-roosevelt-rough-rider-award	1.24	0.0	0.02	heodore-roosevelt-rough-rider-award	1.24	0.02	0.0
skillfully	1.24	0.0	0.02	skillfully	1.24	0.02	0.0
bit.ly/2ouajz6	1.24	0.0	0.02	bit.ly/2ouajz6	1.24	0.02	0.0
leadsc	1.24	0.0	0.02	leadsc	1.24	0.02	0.0
hydropower	1.24	0.0	0.02	hydropower	1.24	0.02	0.0
rockford-sheyenne	1.24	0.0	0.02	rockford-sheyenne	1.24	0.02	0.0
1,000+	1.24	0.0	0.02	1,000+	1.24	0.02	0.0
assi	1.24	0.0	0.02	legend-class	1.24	0.02	0.0
legend-class	1.24	0.0	0.02	assi	1.24	0.02	0.0
anderson-bank	1.24	0.0	0.02	anderson-bank	1.24	0.02	0.0
eoq	1.24	0.0	0.02	eoq	1.24	0.02	0.0
harriman	1.24	0.0	0.02	harriman	1.24	0.02	0.0
everybody's	1.24	0.0	0.02	everybody's	1.24	0.02	0.0
44,000	1.24	0.0	0.02	44,000	1.24	0.02	0.0
child-protective	1.24	0.0	0.02	child-protective	1.24	0.02	0.0
bidding	1.24	0.0	0.02	bidding	1.24	0.02	0.0
best-and-worst-states-for-business	1.24	0.0	0.02	best-and-worst-states-for-business	1.24	0.02	0.0
5706876	1.24	0.0	0.02	5706876	1.24	0.02	0.0
defusing	1.24	0.0	0.02	53,793	1.24	0.02	0.0
53,793	1.24	0.0	0.02	defusing	1.24	0.02	0.0
perce	1.24	0.0	0.02	perce	1.24	0.02	0.0
thestoryofeva	1.24	0.0	0.02	thestoryofeva	1.24	0.02	0.0
andregg	1.24	0.0	0.02	andregg	1.24	0.02	0.0
e-smith-secures-funding-support-to-address-army-corps-projects-affecting-mississippi	1.24	0.0	0.02	e-smith-secures-funding-support-to-address-army-corps-projects-affecting-mississippi	1.24	0.02	0.0
filth	1.24	0.0	0.02	filth	1.24	0.02	0.0
rosebud	1.24	0.0	0.02	rosebud	1.24	0.02	0.0
ow.ly/rwoc50zce38	1.24	0.0	0.02	ow.ly/rwoc50zce38	1.24	0.02	0.0
høstfest	1.24	0.0	0.02	høstfest	1.24	0.02	0.0
columbiabusinessreport.com/news/hospitali	1.24	0.0	0.02	columbiabusinessreport.com/news/hospitali	1.24	0.02	0.0
97b	1.24	0.0	0.02	97b	1.24	0.02	0.0
high-priority	1.24	0.0	0.02	high-priority	1.24	0.02	0.0
re-entering	1.24	0.0	0.02	re-entering	1.24	0.02	0.0
finishers	1.24	0.0	0.02	finishers	1.24	0.02	0.0
pony	1.24	0.0	0.02	pony	1.24	0.02	0.0
exámenes	1.24	0.0	0.02	exámenes	1.24	0.02	0.0
widberg	1.24	0.0	0.02	widberg	1.24	0.02	0.0
yallpolitics.com/2019/09/12/hyd	1.24	0.0	0.02	yallpolitics.com/2019/09/12/hyd	1.24	0.02	0.0
1e6-b255-11ea-8375-1bddfeb95c3c.html	1.24	0.0	0.02	1e6-b255-11ea-8375-1bddfeb95c3c.html	1.24	0.02	0.0
touch-points	1.24	0.0	0.02	touch-points	1.24	0.02	0.0
pudding	1.24	0.0	0.02	pudding	1.24	0.02	0.0
freezes	1.24	0.0	0.02	freezes	1.24	0.02	0.0
ty-news-room	1.24	0.0	0.02	ty-news-room	1.24	0.02	0.0
greed	1.24	0.0	0.02	greed	1.24	0.02	0.0
blevins	1.24	0.0	0.02	blevins	1.24	0.02	0.0
covid19.alaska.gov/travelers/	1.24	0.0	0.02	covid19.alaska.gov/travelers/	1.24	0.02	0.0
07/30	1.24	0.0	0.02	07/30	1.24	0.02	0.0
scrappy	1.24	0.0	0.02	scrappy	1.24	0.02	0.0
bit.ly/2rz14if	1.24	0.0	0.02	bit.ly/2rz14if	1.24	0.02	0.0
out-of-pocket	1.24	0.0	0.02	out-of-pocket	1.24	0.02	0.0
miss-delegation-requests-federal-disaster-declaration-for-october-storm-damage	1.24	0.0	0.02	miss-delegation-requests-federal-disaster-declaration-for-october-storm-damage	1.24	0.02	0.0
thorny	1.24	0.0	0.02	thorny	1.24	0.02	0.0
redesigns	1.24	0.0	0.02	redesigns	1.24	0.02	0.0
kivitv.com	1.24	0.0	0.02	kivitv.com	1.24	0.02	0.0
bit.ly/2yj6wpz?utm_me	1.24	0.0	0.02	bit.ly/2yj6wpz?utm_me	1.24	0.02	0.0
mithil	1.24	0.0	0.02	mithil	1.24	0.02	0.0
anti-law	1.24	0.0	0.02	anti-law	1.24	0.02	0.0
bit.ly/2ixkoaf	1.24	0.0	0.02	bit.ly/2ixkoaf	1.24	0.02	0.0
timing.the	1.24	0.0	0.02	timing.the	1.24	0.02	0.0
bit.ly/m-ert	1.24	0.0	0.02	bit.ly/m-ert	1.24	0.02	0.0
kochel	1.24	0.0	0.02	kochel	1.24	0.02	0.0
schechter	1.24	0.0	0.02	schechter	1.24	0.02	0.0
watt	1.24	0.0	0.02	watt	1.24	0.02	0.0
804mw	1.24	0.0	0.02	804mw	1.24	0.02	0.0
pre-positioned	1.24	0.0	0.02	pre-positioned	1.24	0.02	0.0
binational	1.24	0.0	0.02	binational	1.24	0.02	0.0
rancher's	1.24	0.0	0.02	rancher's	1.24	0.02	0.0
abct	1.24	0.0	0.02	abct	1.24	0.02	0.0
it-except	1.24	0.0	0.02	it-except	1.24	0.02	0.0
603	1.24	0.0	0.02	seasoning	1.24	0.02	0.0
seasoning	1.24	0.0	0.02	603	1.24	0.02	0.0
globally-recognized	1.24	0.0	0.02	globally-recognized	1.24	0.02	0.0
5,290	1.24	0.0	0.02	5,290	1.24	0.02	0.0
general-elect	1.24	0.0	0.02	general-elect	1.24	0.02	0.0
netnebraska.org/interactive-multimedia/government/executive-governors-news-conference-211	1.24	0.0	0.02	netnebraska.org/interactive-multimedia/government/executive-governors-news-conference-211	1.24	0.02	0.0
w-williston-basin-international-airport-vital-regions-growing-population-economy	1.24	0.0	0.02	w-williston-basin-international-airport-vital-regions-growing-population-economy	1.24	0.02	0.0
bit.ly/covidgatherings	1.24	0.0	0.02	bit.ly/covidgatherings	1.24	0.02	0.0
ms-election-letters-wrongly-tell-voters-they-arent-registered	1.24	0.0	0.02	ms-election-letters-wrongly-tell-voters-they-arent-registered	1.24	0.02	0.0
1,059	1.24	0.0	0.02	1,059	1.24	0.02	0.0
whsaa.org/stateevents/fo	1.24	0.0	0.02	whsaa.org/stateevents/fo	1.24	0.02	0.0
sb4	1.24	0.0	0.02	sb4	1.24	0.02	0.0
texas's	1.24	0.0	0.02	texas's	1.24	0.02	0.0
hume	1.24	0.0	0.02	hume	1.24	0.02	0.0
secure.anedot.com/1fomg8/launch	1.24	0.0	0.02	secure.anedot.com/1fomg8/launch	1.24	0.02	0.0
diverted	1.24	0.0	0.02	diverted	1.24	0.02	0.0
auspicious	1.24	0.0	0.02	auspicious	1.24	0.02	0.0
summerbut	1.24	0.0	0.02	summerbut	1.24	0.02	0.0
insignificant	1.24	0.0	0.02	insignificant	1.24	0.02	0.0
irector-hartley-powell-continue-leading-sc-department-revenue	1.24	0.0	0.02	irector-hartley-powell-continue-leading-sc-department-revenue	1.24	0.02	0.0
hugely	1.24	0.0	0.02	hugely	1.24	0.02	0.0
limited-edition	1.24	0.0	0.02	limited-edition	1.24	0.02	0.0
kcit	1.24	0.0	0.02	kcit	1.24	0.02	0.0
akgov.us/11b5e	1.24	0.0	0.02	akgov.us/11b5e	1.24	0.02	0.0
likenesses	1.24	0.0	0.02	likenesses	1.24	0.02	0.0
governor.arkansas.gov/news-media/press-releases/state-parks-lifting-some-restrictions-for-arkansas-residents-governor-annou	1.24	0.0	0.02	governor.arkansas.gov/news-media/press-releases/state-parks-lifting-some-restrictions-for-arkansas-residents-governor-annou	1.24	0.02	0.0
gangsters	1.24	0.0	0.02	gangsters	1.24	0.02	0.0
dunks	1.24	0.0	0.02	dunks	1.24	0.02	0.0
talk104fm.com	1.24	0.0	0.02	talk104fm.com	1.24	0.02	0.0
alliancestl.com/tech-jobs-pres	1.24	0.0	0.02	alliancestl.com/tech-jobs-pres	1.24	0.02	0.0
song-showcases-governor-elect-lee-inaugural-worship-service	1.24	0.0	0.02	song-showcases-governor-elect-lee-inaugural-worship-service	1.24	0.02	0.0
0.1	1.24	0.0	0.02	0.1	1.24	0.02	0.0
directive_covid_summer_day_camps	1.24	0.0	0.02	directive_covid_summer_day_camps	1.24	0.02	0.0
netnebraska.org/article/news/1217320/restrictions-be-loosened-parts-state-contact-tracing-increased?fbclid=iwar1sa09upnmuz5xsv9hvlpr3c5qteduwzo8v_yqgo7vyss2ogyy1iovgkfi	1.24	0.0	0.02	netnebraska.org/article/news/1217320/restrictions-be-loosened-parts-state-contact-tracing-increased?fbclid=iwar1sa09upnmuz5xsv9hvlpr3c5qteduwzo8v_yqgo7vyss2ogyy1iovgkfi	1.24	0.02	0.0
canyons	1.24	0.0	0.02	canyons	1.24	0.02	0.0
76bcf86eb67e_story	1.24	0.0	0.02	76bcf86eb67e_story	1.24	0.02	0.0
osu-receives	1.24	0.0	0.02	osu-receives	1.24	0.02	0.0
m-for-non-traditional-community-projects	1.24	0.0	0.02	tc	1.24	0.02	0.0
r-sc	1.24	0.0	0.02	m-for-non-traditional-community-projects	1.24	0.02	0.0
molest	1.24	0.0	0.02	r-sc	1.24	0.02	0.0
tpelier-plans-to-paint-black-lives-matter-on-state-street	1.24	0.0	0.02	molest	1.24	0.02	0.0
university.on	1.24	0.0	0.02	tpelier-plans-to-paint-black-lives-matter-on-state-street	1.24	0.02	0.0
1.azdhs.gov/2ygawzv	1.24	0.0	0.02	university.on	1.24	0.02	0.0
arkansas-india	1.24	0.0	0.02	1.azdhs.gov/2ygawzv	1.24	0.02	0.0
explores	1.24	0.0	0.02	arkansas-india	1.24	0.02	0.0
1/11	1.24	0.0	0.02	explores	1.24	0.02	0.0
descriptive	1.24	0.0	0.02	1/11	1.24	0.02	0.0
elver	1.24	0.0	0.02	descriptive	1.24	0.02	0.0
20incremental	1.24	0.0	0.02	elver	1.24	0.02	0.0
aioli	1.24	0.0	0.02	20incremental	1.24	0.02	0.0
ppreciation-day-recognizes-group-that-advocates-on-behalf-of-children	1.24	0.0	0.02	aioli	1.24	0.02	0.0
times-news	1.24	0.0	0.02	ppreciation-day-recognizes-group-that-advocates-on-behalf-of-children	1.24	0.02	0.0
junting	1.24	0.0	0.02	times-news	1.24	0.02	0.0
carnegieendowment.org	1.24	0.0	0.02	junting	1.24	0.02	0.0
blue-green	1.24	0.0	0.02	carnegieendowment.org	1.24	0.02	0.0
80,046	1.24	0.0	0.02	blue-green	1.24	0.02	0.0
61300	1.24	0.0	0.02	80,046	1.24	0.02	0.0
bit.ly/2egn4rp	1.24	0.0	0.02	61300	1.24	0.02	0.0
bit.ly/dailypressupda	1.24	0.0	0.02	bit.ly/2egn4rp	1.24	0.02	0.0
businesshelp@development.ohio.gov	1.24	0.0	0.02	bit.ly/dailypressupda	1.24	0.02	0.0
snow-white	1.24	0.0	0.02	businesshelp@development.ohio.gov	1.24	0.02	0.0
foster-car	1.24	0.0	0.02	snow-white	1.24	0.02	0.0
benefitfocus	1.24	0.0	0.02	foster-car	1.24	0.02	0.0
six-hour	1.24	0.0	0.02	benefitfocus	1.24	0.02	0.0
hunkerin	1.24	0.0	0.02	six-hour	1.24	0.02	0.0
irms-star-id-deadline-extension-further-limits-person-driver-license-services	1.24	0.0	0.02	hunkerin	1.24	0.02	0.0
goo.gl/wezlqf	1.24	0.0	0.02	irms-star-id-deadline-extension-further-limits-person-driver-license-services	1.24	0.02	0.0
eliminate--them	1.24	0.0	0.02	goo.gl/wezlqf	1.24	0.02	0.0
fdem	1.24	0.0	0.02	eliminate--them	1.24	0.02	0.0
gmgi	1.24	0.0	0.02	fdem	1.24	0.02	0.0
kasich	1.24	0.0	0.02	gmgi	1.24	0.02	0.0
ago.mo.gov/app/consumerco	1.24	0.0	0.02	kasich	1.24	0.02	0.0
garver	1.24	0.0	0.02	ago.mo.gov/app/consumerco	1.24	0.02	0.0
re-air	1.24	0.0	0.02	garver	1.24	0.02	0.0
bit.ly/3bqyyek	1.24	0.0	0.02	re-air	1.24	0.02	0.0
nc1.tv/sunshine	1.24	0.0	0.02	bit.ly/3bqyyek	1.24	0.02	0.0
streng	1.24	0.0	0.02	nc1.tv/sunshine	1.24	0.02	0.0
1:1	1.24	0.0	0.02	streng	1.24	0.02	0.0
ohio-breaks	1.24	0.0	0.02	1:1	1.24	0.02	0.0
535	1.24	0.0	0.02	ohio-breaks	1.24	0.02	0.0
twitter.com/jeep/status/12	1.24	0.0	0.02	535	1.24	0.02	0.0
history-the	1.24	0.0	0.02	twitter.com/jeep/status/12	1.24	0.02	0.0
transfers	1.24	0.0	0.02	history-the	1.24	0.02	0.0
ozarkradionews.com	1.24	0.0	0.02	transfers	1.24	0.02	0.0
bit.ly/36pzckx	1.24	0.0	0.02	ozarkradionews.com	1.24	0.02	0.0
ow.ly/68mr50xnuzh	1.24	0.0	0.02	bit.ly/36pzckx	1.24	0.02	0.0
bar-n-eatery	1.24	0.0	0.02	ow.ly/68mr50xnuzh	1.24	0.02	0.0
akgov.us/dc5fb	1.24	0.0	0.02	bar-n-eatery	1.24	0.02	0.0
pers	1.24	0.0	0.02	akgov.us/dc5fb	1.24	0.02	0.0
gov-kay-ivey-stay-home-order-appears-working-stop-coronavirus	1.24	0.0	0.02	pers	1.24	0.02	0.0
ow.ly/ovmt50w5tra	1.24	0.0	0.02	gov-kay-ivey-stay-home-order-appears-working-stop-coronavirus	1.24	0.02	0.0
school-spending	1.24	0.0	0.02	ow.ly/ovmt50w5tra	1.24	0.02	0.0
hoback	1.24	0.0	0.02	school-spending	1.24	0.02	0.0
14,675	1.24	0.0	0.02	hoback	1.24	0.02	0.0
rime	1.24	0.0	0.02	14,675	1.24	0.02	0.0
retransmisión	1.24	0.0	0.02	rime	1.24	0.02	0.0
wrecked	1.24	0.0	0.02	retransmisión	1.24	0.02	0.0
1trwkeeslerafb	1.24	0.0	0.02	wrecked	1.24	0.02	0.0
allena	1.24	0.0	0.02	1trwkeeslerafb	1.24	0.02	0.0
as-virus-raged-china-snapped-up-luxury-cars-made-in-america	1.24	0.0	0.02	allena	1.24	0.02	0.0
coronavirus-relief-options	1.24	0.0	0.02	as-virus-raged-china-snapped-up-luxury-cars-made-in-america	1.24	0.02	0.0
9768778730	1.24	0.0	0.02	coronavirus-relief-options	1.24	0.02	0.0
reuseum	1.24	0.0	0.02	9768778730	1.24	0.02	0.0
prosecutor's	1.24	0.0	0.02	reuseum	1.24	0.02	0.0
plant.the	1.24	0.0	0.02	prosecutor's	1.24	0.02	0.0
pfd's	1.24	0.0	0.02	plant.the	1.24	0.02	0.0
lascassas	1.24	0.0	0.02	pfd's	1.24	0.02	0.0
globetrotting	1.24	0.0	0.02	lascassas	1.24	0.02	0.0
metals	1.24	0.0	0.02	globetrotting	1.24	0.02	0.0
𝐒𝐡𝐨𝐫𝐞𝐬	1.24	0.0	0.02	metals	1.24	0.02	0.0
kmmo.com	1.24	0.0	0.02	𝐒𝐡𝐨𝐫𝐞𝐬	1.24	0.02	0.0
daisy	1.24	0.0	0.02	kmmo.com	1.24	0.02	0.0
d-ala	1.24	0.0	0.02	daisy	1.24	0.02	0.0
lqbtq	1.24	0.0	0.02	d-ala	1.24	0.02	0.0
unemploymentbenefits.nh.gov	1.24	0.0	0.02	lqbtq	1.24	0.02	0.0
ow.ly/xdve50us6ki	1.24	0.0	0.02	unemploymentbenefits.nh.gov	1.24	0.02	0.0
bit.ly/2wcd3do	1.24	0.0	0.02	ow.ly/xdve50us6ki	1.24	0.02	0.0
administrationi	1.24	0.0	0.02	bit.ly/2wcd3do	1.24	0.02	0.0
wrdw.com/content/news/s	1.24	0.0	0.02	administrationi	1.24	0.02	0.0
collegial	1.24	0.0	0.02	wrdw.com/content/news/s	1.24	0.02	0.0
tiffcwilkinson	1.24	0.0	0.02	collegial	1.24	0.02	0.0
publicnewsservice.org/2019-07-03/dis	1.24	0.0	0.02	tiffcwilkinson	1.24	0.02	0.0
bit.ly/2rvoij0	1.24	0.0	0.02	publicnewsservice.org/2019-07-03/dis	1.24	0.02	0.0
kfyrtv.com/content/news/t	1.24	0.0	0.02	bit.ly/2rvoij0	1.24	0.02	0.0
strutters	1.24	0.0	0.02	kfyrtv.com/content/news/t	1.24	0.02	0.0
in.gov/bmv/2415.htm	1.24	0.0	0.02	strutters	1.24	0.02	0.0
samhsa	1.24	0.0	0.02	in.gov/bmv/2415.htm	1.24	0.02	0.0
vtstateparks.com/index.html	1.24	0.0	0.02	samhsa	1.24	0.02	0.0
forde's	1.24	0.0	0.02	vtstateparks.com/index.html	1.24	0.02	0.0
ov-henry-mcmaster-orders-furloughed-employees-qualify-unemployment-benefits	1.24	0.0	0.02	forde's	1.24	0.02	0.0
akgov.us/b0c	1.24	0.0	0.02	ov-henry-mcmaster-orders-furloughed-employees-qualify-unemployment-benefits	1.24	0.02	0.0
53.2	1.24	0.0	0.02	akgov.us/b0c	1.24	0.02	0.0
888-795-2707	1.24	0.0	0.02	53.2	1.24	0.02	0.0
43.9	1.24	0.0	0.02	888-795-2707	1.24	0.02	0.0
mng	1.24	0.0	0.02	43.9	1.24	0.02	0.0
arizonan	1.24	0.0	0.02	mng	1.24	0.02	0.0
nogales	1.24	0.0	0.02	arizonan	1.24	0.02	0.0
ow.ly/xdmr50xdtty	1.24	0.0	0.02	nogales	1.24	0.02	0.0
ouachita	1.24	0.0	0.02	ow.ly/xdmr50xdtty	1.24	0.02	0.0
malta	1.24	0.0	0.02	ouachita	1.24	0.02	0.0
content.govdelivery.com/bulletins/gd/w	1.24	0.0	0.02	malta	1.24	0.02	0.0
unquestionably	1.24	0.0	0.02	content.govdelivery.com/bulletins/gd/w	1.24	0.02	0.0
youtube.com/watch?v=fx4ohp	1.24	0.0	0.02	unquestionably	1.24	0.02	0.0
rakeem	1.24	0.0	0.02	youtube.com/watch?v=fx4ohp	1.24	0.02	0.0
bumps	1.24	0.0	0.02	rakeem	1.24	0.02	0.0
deference	1.24	0.0	0.02	bumps	1.24	0.02	0.0
education-centric	1.24	0.0	0.02	deference	1.24	0.02	0.0
lubbock.the	1.24	0.0	0.02	education-centric	1.24	0.02	0.0
28m	1.24	0.0	0.02	lubbock.the	1.24	0.02	0.0
_6c938848	1.24	0.0	0.02	28m	1.24	0.02	0.0
bureaucracy--not	1.24	0.0	0.02	_6c938848	1.24	0.02	0.0
albanyherald.com/local/court-of	1.24	0.0	0.02	bureaucracy--not	1.24	0.02	0.0
zbohu	1.24	0.0	0.02	albanyherald.com/local/court-of	1.24	0.02	0.0
wlox.com/2019/06/25/fut	1.24	0.0	0.02	zbohu	1.24	0.02	0.0
randazzo	1.24	0.0	0.02	wlox.com/2019/06/25/fut	1.24	0.02	0.0
bit.ly/39uz0eb	1.24	0.0	0.02	randazzo	1.24	0.02	0.0
grip	1.24	0.0	0.02	bit.ly/39uz0eb	1.24	0.02	0.0
billlee.com/volunteer/	1.24	0.0	0.02	grip	1.24	0.02	0.0
dams	1.24	0.0	0.02	billlee.com/volunteer/	1.24	0.02	0.0
songwriters	1.24	0.0	0.02	dams	1.24	0.02	0.0
tuckerman's	1.24	0.0	0.02	songwriters	1.24	0.02	0.0
abor	1.24	0.0	0.02	tuckerman's	1.24	0.02	0.0
municipal-elections-postponed-until-june	1.24	0.0	0.02	abor	1.24	0.02	0.0
how're	1.24	0.0	0.02	municipal-elections-postponed-until-june	1.24	0.02	0.0
sion	1.24	0.0	0.02	how're	1.24	0.02	0.0
20deputy	1.24	0.0	0.02	sion	1.24	0.02	0.0
21-15	1.24	0.0	0.02	20deputy	1.24	0.02	0.0
slowdown	1.24	0.0	0.02	21-15	1.24	0.02	0.0
palo	1.24	0.0	0.02	slowdown	1.24	0.02	0.0
arsenal	1.24	0.0	0.02	marissa's	1.24	0.02	0.0
marissa's	1.24	0.0	0.02	palo	1.24	0.02	0.0
governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-updated-statewide-public-health-order/	1.24	0.0	0.02	arsenal	1.24	0.02	0.0
one-of-a-kind	1.24	0.0	0.02	governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-updated-statewide-public-health-order/	1.24	0.02	0.0
hampered	1.24	0.0	0.02	one-of-a-kind	1.24	0.02	0.0
4aefw8cjfkimuhatcv_fbq8c_ubgz7fororlnltotj8vvvp2nhsxs6oxrbbw	1.24	0.0	0.02	hampered	1.24	0.02	0.0
12,435	1.24	0.0	0.02	4aefw8cjfkimuhatcv_fbq8c_ubgz7fororlnltotj8vvvp2nhsxs6oxrbbw	1.24	0.02	0.0
15,300	1.24	0.0	0.02	12,435	1.24	0.02	0.0
desototimes.com	1.24	0.0	0.02	dailycaller.com/2019/07/26/ame	1.24	0.02	0.0
dailycaller.com/2019/07/26/ame	1.24	0.0	0.02	15,300	1.24	0.02	0.0
ndgop	1.24	0.0	0.02	desototimes.com	1.24	0.02	0.0
400.5	1.24	0.0	0.02	ndgop	1.24	0.02	0.0
bit.ly/2mak340	1.24	0.0	0.02	400.5	1.24	0.02	0.0
timesnews.net/politics/2018/	1.24	0.0	0.02	bit.ly/2mak340	1.24	0.02	0.0
burkhart	1.24	0.0	0.02	timesnews.net/politics/2018/	1.24	0.02	0.0
rslc	1.24	0.0	0.02	burkhart	1.24	0.02	0.0
_81ddbdc6	1.24	0.0	0.02	rslc	1.24	0.02	0.0
tnsos.net/publications/p	1.24	0.0	0.02	_81ddbdc6	1.24	0.02	0.0
incognito	1.24	0.0	0.02	tnsos.net/publications/p	1.24	0.02	0.0
retitled	1.24	0.0	0.02	incognito	1.24	0.02	0.0
attempts-avoid-renewable-fuel	1.24	0.0	0.02	retitled	1.24	0.02	0.0
usdafiles	1.24	0.0	0.02	attempts-avoid-renewable-fuel	1.24	0.02	0.0
entrepreneurism	1.24	0.0	0.02	usdafiles	1.24	0.02	0.0
countering	1.24	0.0	0.02	entrepreneurism	1.24	0.02	0.0
meanest	1.24	0.0	0.02	countering	1.24	0.02	0.0
gor	1.24	0.0	0.02	meanest	1.24	0.02	0.0
yorktown	1.24	0.0	0.02	gor	1.24	0.02	0.0
or-debate	1.24	0.0	0.02	yorktown	1.24	0.02	0.0
2,127	1.24	0.0	0.02	or-debate	1.24	0.02	0.0
say.in	1.24	0.0	0.02	2,127	1.24	0.02	0.0
